epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.66201,5.62506,4.19587,2.84211,0.24762,0.17998,0.15336,0.03985,6.89098,7.17869,2.6472,0.04755,5e-05,5e-05
2,12.4317,5.22354,2.93525,2.51453,0.20595,0.15898,0.11896,0.0292,7.05119,5.21351,2.66361,0.0446098,0.000109835,0.000109835
3,18.3508,4.02389,2.37139,2.51384,0.27141,0.23229,0.17964,0.04524,6.43493,7.0316,2.54454,0.0416695,0.00016949,0.00016949
4,23.9066,5.22132,2.52681,2.46387,0.39572,0.32015,0.29115,0.08942,5.3669,3.16861,2.43767,0.038729,0.000228965,0.000228965
5,29.2897,3.97638,2.04894,2.43451,0.39273,0.32674,0.27794,0.08588,5.41724,2.95555,2.41851,0.0357883,0.00028826,0.00028826
6,34.7725,3.98986,2.15623,2.44057,0.45161,0.36834,0.35296,0.11081,5.35012,2.95701,2.417,0.0328474,0.000347375,0.000347375
7,39.976,4.1883,2.12049,2.43973,0.40824,0.29796,0.28278,0.08403,5.6918,2.9978,2.44968,0.0299063,0.00040631,0.00040631
8,45.3229,4.45912,2.15324,2.41838,0.41589,0.33997,0.31622,0.10112,5.14888,2.63559,2.40511,0.0269651,0.000465065,0.000465065
9,50.3231,3.91548,1.94072,2.41421,0.45412,0.36161,0.35805,0.11491,5.01511,2.42884,2.38261,0.0240236,0.00052364,0.00052364
10,55.8948,3.93379,1.94503,2.43109,0.37657,0.31809,0.27391,0.08286,5.54994,2.85038,2.4301,0.021082,0.000582035,0.000582035
11,61.4676,4.21725,2.01816,2.40576,0.50236,0.36834,0.38121,0.12526,5.02921,2.50701,2.37885,0.0181402,0.00064025,0.00064025
12,66.9746,4.27291,1.9888,2.38947,0.53581,0.39923,0.43255,0.15339,4.70532,2.19157,2.35747,0.0151983,0.000698285,0.000698285
13,71.703,4.73639,2.00634,2.28846,0.52211,0.40994,0.42956,0.16205,4.6067,2.39524,2.34585,0.0122561,0.00075614,0.00075614
14,76.4793,4.4703,2.00397,2.38808,0.58678,0.42696,0.47748,0.19515,4.51613,2.33324,2.33928,0.00931382,0.000813815,0.000813815
15,81.6474,4.47019,1.9811,2.42305,0.56447,0.40664,0.45371,0.16721,4.76327,2.40126,2.35833,0.00637131,0.00087131,0.00087131
16,86.6276,4.50426,2.08969,2.39969,0.59631,0.44152,0.49195,0.20023,4.39408,2.25637,2.32874,0.00342862,0.000928625,0.000928625
