epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22895,10.012,7.66678,1.71464,0.03147,0.04407,0.01765,0.00662,11.6017,8.90474,1.68677,0.0492,0.0002,0.0002
2,9.10617,8.71071,6.87804,1.5815,0.11745,0.16447,0.11536,0.04208,9.96163,5.94816,1.46249,0.048,0.000499999,0.000499999
3,13.0846,8.216,5.21142,1.44913,0.40165,0.26412,0.26656,0.09605,9.12667,5.29731,1.29559,0.0468,0.000799993,0.000799993
4,17.0868,7.02959,4.43636,1.31797,0.39629,0.2986,0.28199,0.09788,9.36368,4.59809,1.26004,0.0456,0.00109998,0.00109998
5,21.0551,8.06755,3.82407,1.28275,0.37784,0.30615,0.27588,0.0941,9.38549,4.35277,1.24367,0.0444,0.00139995,0.00139995
6,24.8172,7.98605,3.94215,1.27387,0.40897,0.32879,0.30625,0.10635,9.30294,6.24659,1.23586,0.0431999,0.00169991,0.00169991
7,28.6565,7.22108,3.32843,1.28379,0.36086,0.31604,0.28447,0.10341,8.94643,3.9933,1.22282,0.0419998,0.00199984,0.00199984
8,32.383,7.70537,4.10077,1.28149,0.41929,0.34843,0.32921,0.11809,8.93686,5.32888,1.22188,0.0407997,0.00229975,0.00229975
9,36.2369,7.03612,3.36923,1.27555,0.25353,0.35502,0.21078,0.07905,8.62752,4.09968,1.21263,0.0395996,0.00259963,0.00259963
10,39.9995,8.3188,3.55946,1.26312,0.26245,0.36752,0.22116,0.08224,8.60592,4.17053,1.20813,0.0383995,0.00289948,0.00289948
11,43.8043,6.93297,3.20518,1.23996,0.45662,0.36587,0.35785,0.12772,8.88629,4.70006,1.20941,0.0371993,0.00319929,0.00319929
12,47.7875,8.24128,3.4846,1.23017,0.41028,0.35475,0.33257,0.12443,8.91377,3.44838,1.21835,0.0359991,0.00349906,0.00349906
13,51.4209,8.11128,3.59064,1.25883,0.44335,0.34898,0.34139,0.11649,8.88296,4.04037,1.2074,0.0347988,0.00379878,0.00379878
14,55.2591,6.93469,2.84386,1.26842,0.40691,0.29119,0.29734,0.10135,10.228,4.41737,1.28564,0.0335985,0.00409846,0.00409846
15,58.9388,7.50601,2.9649,1.25732,0.40246,0.29887,0.30022,0.10019,9.55773,3.63278,1.21569,0.0323981,0.00439809,0.00439809
16,62.4444,6.70912,3.20866,1.26732,0.49296,0.39182,0.39826,0.14354,8.85524,5.76631,1.21544,0.0311977,0.00469765,0.00469765
17,66.4155,8.79021,4.67235,1.27725,0.47764,0.3656,0.37554,0.12593,9.26096,4.68772,1.21346,0.0299972,0.00499716,0.00499716
18,70.1299,7.72093,3.2091,1.25528,0.45901,0.35653,0.36147,0.12538,8.98147,3.97675,1.20834,0.0287966,0.0052966,0.0052966
19,73.8734,7.67317,3.36098,1.24979,0.43997,0.38482,0.36358,0.13047,9.16121,3.58839,1.2151,0.027596,0.00559597,0.00559597
20,77.6008,8.41527,3.42938,1.23119,0.41774,0.36148,0.33311,0.10906,9.61697,4.20444,1.23143,0.0263953,0.00589527,0.00589527
21,81.2512,7.99402,3.52836,1.22016,0.53387,0.40834,0.43922,0.16856,8.19393,4.03633,1.18819,0.0251945,0.00619449,0.00619449
22,84.9803,7.71043,3.01749,1.25562,0.53255,0.38935,0.42468,0.15267,8.8372,3.41428,1.21141,0.0239936,0.00649364,0.00649364
23,88.7735,8.72241,3.28179,1.27534,0.30898,0.23627,0.21441,0.0695,11.3511,5.15126,1.28828,0.0227927,0.00679269,0.00679269
24,92.5371,8.35505,3.41688,1.26382,0.53065,0.40373,0.42109,0.14801,9.06184,5.22471,1.21011,0.0215917,0.00709166,0.00709166
25,96.2467,8.22726,4.1531,1.25238,0.52768,0.3882,0.40932,0.14919,8.77849,4.06584,1.20644,0.0203905,0.00739054,0.00739054
26,99.8506,8.12666,3.65809,1.25647,0.37403,0.31494,0.28844,0.08496,10.0239,3.68552,1.22557,0.0191893,0.00768932,0.00768932
27,103.513,8.90498,3.56069,1.24924,0.52078,0.36875,0.3933,0.13568,9.78568,5.92331,1.24738,0.017988,0.007988,0.007988
28,107.681,7.81375,3.77405,1.23684,0.52676,0.39003,0.41858,0.15013,8.93062,4.81744,1.2041,0.0167866,0.00828657,0.00828657
29,110.874,7.54621,3.4124,1.28207,0.43184,0.36107,0.34847,0.10887,9.96719,4.12118,1.23671,0.015585,0.00858504,0.00858504
30,114.666,8.49477,3.23171,1.27084,0.32869,0.271,0.24548,0.07264,10.6788,4.37676,1.26701,0.0143834,0.00888339,0.00888339
31,118.395,8.57037,3.18982,1.25345,0.49234,0.36285,0.38082,0.13149,9.6913,5.66493,1.25261,0.0131816,0.00918163,0.00918163
32,122.218,8.2096,3.65096,1.27229,0.39782,0.29585,0.29325,0.09476,10.2999,6.5538,1.26533,0.0119797,0.00947974,0.00947974
33,125.834,8.40732,3.26713,1.25435,0.47865,0.3785,0.38393,0.12743,9.40775,3.60188,1.24236,0.0107777,0.00977773,0.00977773
34,129.225,7.56756,3.7102,1.28902,0.51027,0.36683,0.38714,0.12192,9.94429,3.55933,1.25571,0.00997584,0.00997584,0.00997584
35,132.776,8.48538,3.60786,1.26586,0.57856,0.39347,0.44502,0.16523,8.76426,5.21634,1.20503,0.00997435,0.00997435,0.00997435
36,136.564,8.46065,3.64414,1.25912,0.43162,0.30739,0.30913,0.10202,10.2929,5.01025,1.31892,0.00997282,0.00997282,0.00997282
37,140.246,8.66541,3.12433,1.28994,0.4555,0.35144,0.34388,0.10749,9.65801,3.77097,1.22716,0.00997125,0.00997125,0.00997125
38,143.861,7.88661,3.03427,1.26981,0.54574,0.41861,0.45227,0.16223,8.92004,5.06603,1.23124,0.00996963,0.00996963,0.00996963
39,147.463,8.16715,3.56364,1.26173,0.52047,0.39552,0.41294,0.14064,9.2374,3.60193,1.22238,0.00996797,0.00996797,0.00996797
40,151.172,7.86359,3.4099,1.26484,0.41681,0.41269,0.36653,0.12701,9.25409,4.90098,1.22495,0.00996627,0.00996627,0.00996627
41,154.738,7.64432,3.30031,1.27122,0.51909,0.38962,0.41394,0.15023,8.80285,3.36698,1.21647,0.00996452,0.00996452,0.00996452
42,158.527,7.62785,3.33693,1.24478,0.53945,0.40225,0.43228,0.16762,8.49536,3.52437,1.20823,0.00996272,0.00996272,0.00996272
43,162.329,7.97681,3.76803,1.24387,0.54604,0.39209,0.42958,0.16468,8.52291,5.76975,1.20753,0.00996088,0.00996088,0.00996088
44,165.788,6.95375,3.25731,1.25921,0.5495,0.3958,0.43284,0.15058,8.98122,4.21371,1.21708,0.009959,0.009959,0.009959
45,169.074,7.86542,2.96721,1.28342,0.50014,0.39053,0.40433,0.13691,9.33942,4.36047,1.2294,0.00995708,0.00995708,0.00995708
46,172.851,9.07332,3.45665,1.24443,0.56683,0.42918,0.46763,0.17495,8.54353,5.01108,1.20374,0.00995511,0.00995511,0.00995511
47,176.472,8.5356,3.11988,1.24691,0.47427,0.3656,0.37725,0.12117,9.61298,3.53281,1.24861,0.00995309,0.00995309,0.00995309
48,180.187,7.97753,3.12673,1.25453,0.34865,0.29041,0.26641,0.08404,10.5797,3.53257,1.27309,0.00995103,0.00995103,0.00995103
49,183.664,8.7084,3.13173,1.28101,0.45737,0.34206,0.34796,0.11571,9.72659,3.79103,1.28702,0.00994893,0.00994893,0.00994893
50,187.364,8.10755,3.06594,1.25631,0.53245,0.36913,0.40046,0.14237,9.44655,3.85411,1.25102,0.00994679,0.00994679,0.00994679
51,191.061,8.96431,3.19063,1.25041,0.46325,0.38935,0.38037,0.11651,9.35537,3.1733,1.22118,0.0099446,0.0099446,0.0099446
52,194.838,7.33385,2.78497,1.27377,0.46815,0.37257,0.37024,0.11394,9.18901,3.09021,1.23533,0.00994236,0.00994236,0.00994236
53,198.481,8.21461,3.08394,1.25703,0.52265,0.36079,0.38355,0.13785,9.2152,3.87469,1.22446,0.00994009,0.00994009,0.00994009
54,202.096,7.20955,3.01053,1.27558,0.54077,0.36477,0.39717,0.14187,9.39612,4.00781,1.2275,0.00993777,0.00993777,0.00993777
55,205.804,8.18122,3.10183,1.23879,0.53584,0.42339,0.43848,0.16968,7.98433,2.95716,1.18641,0.0099354,0.0099354,0.0099354
56,209.263,8.08827,3.52021,1.2078,0.58601,0.42532,0.47683,0.17719,8.33278,3.25365,1.19687,0.00993299,0.00993299,0.00993299
57,212.878,7.34847,3.20475,1.2495,0.56828,0.41502,0.4576,0.1682,8.46201,4.31466,1.19254,0.00993054,0.00993054,0.00993054
58,216.59,7.88119,2.79848,1.24579,0.56466,0.43289,0.47291,0.1719,8.63469,3.35298,1.2078,0.00992804,0.00992804,0.00992804
59,220.114,7.98543,2.98515,1.24981,0.5666,0.41621,0.45838,0.16299,8.88932,3.10006,1.2148,0.0099255,0.0099255,0.0099255
60,223.796,7.47215,2.73193,1.26202,0.52495,0.35864,0.38993,0.13684,9.40804,3.29403,1.22417,0.00992292,0.00992292,0.00992292
61,227.225,7.34366,2.76672,1.25117,0.57103,0.44014,0.47984,0.18012,8.13187,2.92124,1.20193,0.00992029,0.00992029,0.00992029
62,230.956,7.96236,2.78569,1.2618,0.55107,0.41749,0.46017,0.16454,8.91358,3.01265,1.2181,0.00991762,0.00991762,0.00991762
