epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03539,4.69561,9.51582,2.18327,0,0,0,0,4.99149,13.5365,2.13623,0.0001,0.0001,0.0001
2,6.66957,4.45881,10.1507,1.9905,0,0,0,0,4.98747,13.5482,2.13427,0.000219994,0.000219994,0.000219994
3,9.55562,5.09804,9.21182,2.29555,0,0,0,0,4.99883,13.4763,2.13856,0.000339963,0.000339963,0.000339963
4,12.3928,5.76277,8.13901,2.52856,0,0,0,0,4.99625,13.5148,2.14011,0.000459888,0.000459888,0.000459888
5,15.1621,5.58502,7.21033,2.16849,0,0,0,0,4.98189,13.6494,2.13966,0.000579748,0.000579748,0.000579748
6,17.8411,5.20553,5.15441,1.95237,0,0,0,0,4.97749,13.6282,2.14415,0.000699525,0.000699525,0.000699525
7,20.5686,4.78887,2.33247,2.04427,0,0,0,0,4.97333,7.49153,2.14912,0.000819199,0.000819199,0.000819199
8,23.2611,4.96529,2.8608,1.81429,0,0,0,0,4.98097,7.9839,2.15981,0.00093875,0.00093875,0.00093875
9,25.969,4.28653,1.78041,1.62073,0,0,0,0,5.01979,8.84638,2.17927,0.00105816,0.00105816,0.00105816
10,28.663,4.41709,1.95306,1.48977,0,0,0,0,5.0601,8.56374,2.1844,0.00117741,0.00117741,0.00117741
11,31.4194,3.92586,1.49407,1.34266,0,0,0,0,5.13739,7.92584,2.18621,0.00129647,0.00129647,0.00129647
12,34.0678,3.98002,1.39242,1.20212,0,0,0,0,5.22396,7.61228,2.19196,0.00141534,0.00141534,0.00141534
13,36.677,3.87259,1.44671,1.23632,0,0,0,0,5.30975,7.43116,2.20246,0.00153399,0.00153399,0.00153399
14,39.339,3.88177,1.51083,1.18612,0,0,0,0,5.36243,9.00794,2.12333,0.0016524,0.0016524,0.0016524
15,41.9551,3.80216,1.29945,1.09418,0,0,0,0,5.28892,5.27098,2.17371,0.00177055,0.00177055,0.00177055
16,44.6441,3.88733,1.27244,1.00753,0.00135,0.0022,0.00115,0.00026,4.55549,3.15481,1.57764,0.00188842,0.00188842,0.00188842
17,47.2285,3.86267,1.29362,1.05439,0.00303,0.00494,0.0065,0.00202,4.11269,2.28598,1.40399,0.00198614,0.00198614,0.00198614
18,49.9055,3.85877,1.1885,0.95993,0.0116,0.01895,0.00913,0.00236,3.81783,1.71591,1.08583,0.00198435,0.00198435,0.00198435
19,52.6272,3.5967,1.17231,0.92827,0.01681,0.02746,0.01176,0.00324,3.72351,1.60501,1.03599,0.00198246,0.00198246,0.00198246
20,55.3235,3.60026,1.1489,0.90656,0.0455,0.02663,0.01708,0.00461,3.78861,1.66063,0.94889,0.00198047,0.00198047,0.00198047
21,57.9208,3.56691,1.1829,1.02864,0.05676,0.0291,0.01841,0.00467,3.78355,1.63018,0.94801,0.00197837,0.00197837,0.00197837
22,60.6134,3.6747,1.13156,0.8956,0.04885,0.03364,0.02053,0.00541,3.82909,1.90175,0.9337,0.00197616,0.00197616,0.00197616
23,63.2539,3.46938,1.07922,0.89453,0.05075,0.04132,0.02214,0.00643,3.83102,2.11419,0.93407,0.00197384,0.00197384,0.00197384
24,66.0023,3.69103,1.14421,0.92903,0.07904,0.04791,0.03367,0.00878,4.02378,4.89232,0.87785,0.00197142,0.00197142,0.00197142
25,68.6874,3.77206,1.33471,0.87004,0.08503,0.05794,0.03753,0.00938,3.95109,3.8341,0.86079,0.0019689,0.0019689,0.0019689
26,71.4676,3.4135,1.10564,0.94247,0.09208,0.0637,0.04065,0.00996,3.82795,1.76552,0.84188,0.00196627,0.00196627,0.00196627
27,74.088,3.47024,1.10048,0.86381,0.10303,0.07153,0.04581,0.01142,3.81913,1.81746,0.82519,0.00196353,0.00196353,0.00196353
28,76.928,3.41496,1.16615,0.92195,0.08177,0.07839,0.04675,0.01139,3.99509,7.70562,0.82571,0.00196069,0.00196069,0.00196069
29,79.5562,3.33922,1.0123,0.88192,0.06486,0.08196,0.04171,0.01006,4.09261,17.8691,0.85631,0.00195775,0.00195775,0.00195775
30,82.1883,3.40237,1.05534,0.9401,0.10666,0.10242,0.06013,0.01471,3.88836,5.7403,0.7815,0.0019547,0.0019547,0.0019547
31,84.8812,3.18429,1.01221,0.81987,0.11973,0.10324,0.065,0.01596,3.81835,2.27104,0.77034,0.00195155,0.00195155,0.00195155
32,87.5871,3.40867,1.07995,0.85683,0.14086,0.0832,0.06321,0.01753,3.74791,1.2582,0.79845,0.00194829,0.00194829,0.00194829
33,90.2076,3.29303,1.14504,0.91837,0.13663,0.08869,0.06675,0.01849,3.74587,1.27481,0.77619,0.00194493,0.00194493,0.00194493
34,92.975,3.08792,0.99773,0.85133,0.13395,0.09075,0.06501,0.01695,3.78957,1.54843,0.75389,0.00194147,0.00194147,0.00194147
35,95.5171,3.47087,1.06204,0.83506,0.1444,0.10942,0.07603,0.02078,3.72901,1.39488,0.75679,0.00193791,0.00193791,0.00193791
36,98.1882,3.2163,1.02534,0.88875,0.1366,0.12562,0.0835,0.02129,3.67257,1.14633,0.76335,0.00193424,0.00193424,0.00193424
37,100.937,3.17759,1.04034,0.88235,0.11375,0.11367,0.06909,0.01598,3.77005,1.19938,0.77238,0.00193048,0.00193048,0.00193048
38,103.589,3.29236,1.02714,0.8255,0.11828,0.12576,0.07335,0.01764,3.73695,1.16655,0.77887,0.00192661,0.00192661,0.00192661
39,106.148,3.10369,0.98805,0.89918,0.11587,0.13976,0.08158,0.0199,3.66571,1.11303,0.78937,0.00192264,0.00192264,0.00192264
40,108.795,3.42468,1.09302,0.82253,0.19137,0.14072,0.10596,0.02679,3.51855,1.0277,0.76487,0.00191858,0.00191858,0.00191858
41,111.463,3.22417,1.06818,0.86573,0.18362,0.13564,0.10104,0.02628,3.51668,1.01952,0.7692,0.00191441,0.00191441,0.00191441
42,114.194,3.27688,1.08707,0.8293,0.17115,0.11546,0.09175,0.02449,3.61952,1.09332,0.75249,0.00191014,0.00191014,0.00191014
43,116.802,3.34755,1.12772,0.84756,0.1865,0.12262,0.10068,0.02527,3.61133,1.09264,0.75607,0.00190578,0.00190578,0.00190578
44,119.422,3.01736,0.96389,0.79697,0.19304,0.14278,0.11069,0.0282,3.53956,1.04775,0.75106,0.00190132,0.00190132,0.00190132
45,122.102,3.1566,0.95211,0.74965,0.20131,0.148,0.11754,0.03213,3.49438,1.03659,0.74231,0.00189675,0.00189675,0.00189675
46,124.931,3.19457,1.11593,0.90126,0.12602,0.09871,0.06369,0.01515,3.84553,1.17717,0.74672,0.0018921,0.0018921,0.0018921
47,127.472,3.16425,1.03102,0.80371,0.11999,0.16776,0.09714,0.02375,3.59888,1.12928,0.73708,0.00188734,0.00188734,0.00188734
48,130.136,3.18601,1.01128,0.83643,0.07866,0.1285,0.06346,0.01551,3.76635,1.36846,0.7525,0.00188249,0.00188249,0.00188249
