epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50802,4.18372,2.88121,1.48687,0.07558,0.05643,0.03123,0.00847,5.17499,10.0412,1.34463,0.0982,0.0002,0.0002
2,10.6738,3.49785,1.7155,1.28892,0.2828,0.14388,0.12242,0.03228,5.41754,2.83519,1.43869,0.0954992,0.000499167,0.000499167
3,14.9658,3.47438,1.58501,1.27474,0.25006,0.32688,0.16156,0.04743,4.78604,20.647,1.35514,0.0927973,0.000797336,0.000797336
4,19.1718,3.29431,1.39743,1.27657,0.14916,0.24039,0.09251,0.03114,4.4396,18.5535,1.32101,0.0900945,0.00109451,0.00109451
5,23.3373,3.69913,1.5232,1.34289,0.01109,0.01812,0.00565,0.00125,5.55656,125.825,1.51158,0.0873907,0.00139068,0.00139068
6,27.401,3.62551,1.51122,1.30707,0.00605,0.00988,0.00306,0.0008,4.75679,4393.26,2.07807,0.0846858,0.00168585,0.00168585
7,31.4262,3.63223,1.46813,1.31133,0.02429,0.03968,0.01262,0.00479,4.739,664.698,1.58965,0.08198,0.00198002,0.00198002
8,35.44,3.36027,1.37745,1.27598,0.01714,0.02801,0.00881,0.00343,4.51159,384.639,1.4973,0.0792732,0.00227319,0.00227319
9,39.4693,3.58174,1.57578,1.28651,0,0,0,0,7.63874,2057.39,8.0678,0.0765654,0.00256537,0.00256537
10,43.5298,3.82967,1.58522,1.3409,0.00019,0.00027,9e-05,2e-05,7.36144,39503.9,157.502,0.0738565,0.00285654,0.00285654
11,47.6873,3.77196,1.70503,1.32705,0,0,0,0,8.1036,1.96563e+06,973.877,0.0711467,0.00314672,0.00314672
12,51.5773,3.77116,1.5798,1.30973,0,0,0,0,9.79064,112006,6059.68,0.0684359,0.0034359,0.0034359
13,55.5905,3.6082,1.52183,1.30143,0,0,0,0,8.93609,324495,7181.56,0.0657241,0.00372408,0.00372408
14,59.5445,3.62897,1.52596,1.29358,0,0,0,0,9.49409,288614,1430.69,0.0630113,0.00401126,0.00401126
15,63.2775,3.67782,1.56022,1.34838,0,0,0,0,0,45214.6,0,0.0602974,0.00429744,0.00429744
16,67.1425,3.82378,1.5493,1.35597,0,0,0,0,0,3.3678e+09,0,0.0575826,0.00458262,0.00458262
17,71.0823,3.6131,1.67861,1.33725,0,0,0,0,8.74806,9.11172e+07,35398.6,0.0548668,0.0048668,0.0048668
18,75.0673,3.51332,1.45863,1.25245,0,0,0,0,8.8412,567612,1573.33,0.05215,0.00514998,0.00514998
19,78.9886,3.61902,1.71242,1.30787,0,0,0,0,8.68514,307550,186.507,0.0494322,0.00543217,0.00543217
20,83.3916,3.52304,1.51573,1.25741,0,0,0,0,8.58207,339375,32.8841,0.0467134,0.00571335,0.00571335
21,87.441,3.45529,1.544,1.28481,0,0,0,0,2.88096,4.92099e+06,10.9132,0.0439935,0.00599354,0.00599354
22,91.7774,3.62488,1.54131,1.30945,8e-05,0.00014,4e-05,0,8.19,30100,33.5888,0.0412727,0.00627273,0.00627273
23,95.7795,3.75091,1.54787,1.33168,0,0,0,0,7.75777,24379.1,25.7483,0.0385509,0.00655092,0.00655092
24,100.213,3.73093,1.55629,1.28582,0.00017,0.00027,8e-05,2e-05,8.97567,7567.94,12.7654,0.0358281,0.00682811,0.00682811
25,104.105,3.6281,1.44993,1.27107,0.00017,0.00027,8e-05,2e-05,7.80096,10810.1,13.7594,0.0331043,0.0071043,0.0071043
26,108.487,3.6461,1.4204,1.27545,0.04067,0.06604,0.02161,0.00657,5.88569,53.14,2.11668,0.0303795,0.00737949,0.00737949
27,112.746,3.53411,1.38738,1.25296,0.01336,0.02183,0.00683,0.00211,5.73694,257.242,2.3121,0.0276537,0.00765368,0.00765368
28,116.718,3.61302,1.43934,1.26352,0.00061,0.00096,0.0003,8e-05,7.23894,2499.69,11.6501,0.0249269,0.00792687,0.00792687
29,120.66,3.69096,1.39665,1.27265,0.00647,0.01057,0.00327,0.00064,7.02731,1511.92,5.0305,0.0221991,0.00819907,0.00819907
30,124.851,3.89598,1.50401,1.25258,0,0,0,0,8.11686,2071.59,20.0114,0.0194703,0.00847026,0.00847026
31,128.688,3.9571,1.64842,1.29658,0,0,0,0,8.02496,11731.5,73.4313,0.0167405,0.00874046,0.00874046
32,132.587,4.16261,1.69953,1.40727,0,0,0,0,0,1877.34,0,0.0140097,0.00900966,0.00900966
33,136.65,3.94158,1.94468,1.35533,0,0,0,0,0,11474.1,0,0.0112779,0.00927786,0.00927786
34,140.327,3.94748,1.68725,1.31362,0,0,0,0,0,11912.5,0,0.00945055,0.00945055,0.00945055
35,143.951,3.99256,1.63777,1.30647,0,0,0,0,0,255767,0,0.0094339,0.0094339,0.0094339
36,147.536,4.10446,1.90945,1.34795,0,0,0,0,0,0,0,0.00941725,0.00941725,0.00941725
37,151.161,4.15124,1.81477,1.36356,0,0,0,0,0,245763,0,0.0094006,0.0094006,0.0094006
38,154.918,3.91618,1.98164,1.3736,0,0,0,0,0.00345,7.18538e+08,129.443,0.00938395,0.00938395,0.00938395
39,158.541,3.90173,1.86696,1.28343,0,0,0,0,0,1.06788e+08,0,0.0093673,0.0093673,0.0093673
40,162.685,4.06761,1.821,1.34445,0,0,0,0,6.34352,2.86734e+07,4532.48,0.00935065,0.00935065,0.00935065
41,166.893,3.73378,1.88561,1.31501,0,0,0,0,9.04166,743326,5632.87,0.009334,0.009334,0.009334
42,171.175,3.6555,1.62625,1.30945,0,0,0,0,9.76155,238962,6685.83,0.00931735,0.00931735,0.00931735
43,174.67,3.61169,1.5181,1.27766,0,0,0,0,0,145041,0,0.0093007,0.0093007,0.0093007
44,178.52,3.57395,1.54797,1.27614,0,0,0,0,0,0,0,0.00928405,0.00928405,0.00928405
45,182.386,3.35988,1.6606,1.29307,0,0,0,0,0,0,0,0.0092674,0.0092674,0.0092674
46,186.427,3.57194,1.53078,1.27748,0,0,0,0,0,0,0,0.00925075,0.00925075,0.00925075
47,189.985,3.31553,1.48373,1.27374,0,0,0,0,5.99189,20.4197,2.71387,0.0092341,0.0092341,0.0092341
48,193.852,3.65891,1.54969,1.282,0,0,0,0,7.60072,11.5697,12.6907,0.00921745,0.00921745,0.00921745
49,197.535,3.23012,1.40512,1.25225,0.0016,0.00261,0.0008,0.00021,8.22433,5.36259,17.733,0.0092008,0.0092008,0.0092008
50,201.584,3.18895,1.43233,1.30002,0.01395,0.02279,0.00713,0.00231,7.49075,142.207,9.09974,0.00918415,0.00918415,0.00918415
51,205.221,3.30863,1.35856,1.24391,0.02664,0.01112,0.00733,0.00189,7.46381,5.66787,6.62671,0.0091675,0.0091675,0.0091675
52,209.064,3.27784,1.34077,1.26237,0.0829,0.07166,0.04084,0.01119,6.72599,4.78638,2.34569,0.00915085,0.00915085,0.00915085
53,212.89,3.72594,1.47582,1.2633,0.01599,0.02416,0.01274,0.00527,8.01357,12.1437,3.71852,0.0091342,0.0091342,0.0091342
54,216.659,3.51223,1.39347,1.3137,0,0,0,0,7.97209,10.4432,6.70421,0.00911755,0.00911755,0.00911755
55,220.323,3.60744,1.48414,1.28613,0.00079,0.00014,0.0004,8e-05,7.08186,10.7852,2.70769,0.0091009,0.0091009,0.0091009
56,224.107,3.51963,1.42012,1.30217,0.42942,0.28926,0.3185,0.11794,4.58903,2.70685,1.37085,0.00908425,0.00908425,0.00908425
57,228.127,3.27674,1.2862,1.24476,0.56083,0.40481,0.43593,0.16805,3.97376,3.08808,1.28308,0.0090676,0.0090676,0.0090676
58,232.947,3.19665,1.3336,1.27186,0.57243,0.42549,0.45041,0.1797,3.8584,5.27938,1.26807,0.00905095,0.00905095,0.00905095
59,236.858,3.31332,1.35002,1.25855,0.61351,0.45285,0.48967,0.19139,3.7603,5.04895,1.26507,0.0090343,0.0090343,0.0090343
60,241.241,3.00818,1.23902,1.22574,0.56212,0.4455,0.46795,0.16889,3.93447,2.99968,1.24812,0.00901765,0.00901765,0.00901765
61,245.104,3.44236,1.35392,1.27108,0.41107,0.37164,0.33865,0.12416,4.22412,2.93925,1.31003,0.009001,0.009001,0.009001
62,248.92,3.28732,1.37237,1.30758,0.51787,0.3818,0.39983,0.13552,4.17358,4.33674,1.28743,0.00898435,0.00898435,0.00898435
63,252.906,3.47085,1.35528,1.29003,0.54372,0.39141,0.42873,0.16372,4.06398,2.97645,1.29292,0.0089677,0.0089677,0.0089677
64,256.7,3.30498,1.32841,1.27653,0.58886,0.43396,0.47908,0.1806,3.78832,3.3021,1.21756,0.00895105,0.00895105,0.00895105
65,260.432,3.37051,1.25635,1.22363,0.5282,0.43012,0.42033,0.16725,3.75401,4.3146,1.22064,0.0089344,0.0089344,0.0089344
66,264.507,3.28852,1.3197,1.23855,0.57897,0.41099,0.45602,0.176,3.84516,2.53355,1.26232,0.00891775,0.00891775,0.00891775
