epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53225,6.34429,5.91523,2.55058,0.01735,0.0243,0.00916,0.0038,7.5336,6.72312,2.64513,0.04755,5e-05,5e-05
2,13.9144,5.96574,5.56008,2.26643,0.27173,0.2073,0.17273,0.05124,6.31432,8.76354,1.86516,0.0446099,0.000109901,0.000109901
3,20.2717,4.84357,2.81779,1.9146,0.17791,0.11024,0.08413,0.01878,7.6733,7.05312,1.93303,0.0416697,0.000169694,0.000169694
4,26.3145,4.63917,2.58194,1.90725,0.33538,0.22858,0.21541,0.06426,6.0213,7.86432,1.82606,0.0387294,0.000229379,0.000229379
5,32.3581,4.97806,2.70496,1.91556,0.31709,0.21568,0.19802,0.05713,6.22616,5.54872,1.83366,0.035789,0.000288956,0.000288956
6,38.4104,4.54513,2.49998,1.88171,0.32473,0.21787,0.19723,0.05403,6.22424,7.50894,1.81935,0.0328484,0.000348425,0.000348425
7,44.0797,4.08705,2.53806,1.91206,0.20611,0.13646,0.10722,0.02871,6.90582,6.46255,1.84421,0.0299078,0.000407786,0.000407786
8,49.9115,4.73163,2.42183,1.84208,0.25292,0.22845,0.15848,0.04916,5.83517,5.76785,1.79122,0.026967,0.000467039,0.000467039
9,55.7587,5.09253,2.53998,1.81142,0.1756,0.14923,0.09837,0.02537,6.58216,6.02629,1.84685,0.0240262,0.000526184,0.000526184
10,61.5364,5.60385,2.59437,1.78669,0.14842,0.10667,0.06666,0.01699,7.12466,3.84939,1.88551,0.0210852,0.000585221,0.000585221
11,67.0821,4.67932,2.2759,1.83704,0.25184,0.21293,0.17681,0.05215,5.82948,3.09441,1.79427,0.0181442,0.00064415,0.00064415
12,72.6596,5.07542,2.33637,1.79606,0.32249,0.23504,0.20795,0.06002,6.11653,2.77543,1.79749,0.015203,0.000702971,0.000702971
13,78.1196,4.13469,2.13074,1.93247,0.15504,0.10104,0.08081,0.02448,7.24312,2.88953,1.84658,0.0122617,0.000761684,0.000761684
