epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37809,6.33788,4.72899,1.70816,0.0005,0.00082,0.00025,7e-05,5.61539,4.01339,1.56058,4e-05,4e-05,4e-05
2,7.84055,6.0199,4.35892,1.63492,0.00067,0.0011,0.00034,8e-05,5.63851,3.982,1.56644,9.9001e-05,9.9001e-05,9.9001e-05
3,11.2095,5.87533,3.87573,1.70426,0.00076,0.00124,0.00038,8e-05,5.63335,3.96446,1.57445,0.000156803,0.000156803,0.000156803
4,14.5421,5.52005,4.94831,1.48118,0.10055,0.07551,0.04184,0.01237,5.57882,2.40072,1.21684,0.000213407,0.000213407,0.000213407
5,18.9354,5.27838,2.0758,1.29992,0.18004,0.11079,0.0771,0.0198,5.5626,8.76801,1.12136,0.000268811,0.000268811,0.000268811
6,23.3603,4.42274,1.52506,1.27934,0.25287,0.12836,0.09819,0.02545,5.14178,5.34554,1.11206,0.000323017,0.000323017,0.000323017
7,27.8724,4.76541,1.32492,1.24149,0.1961,0.11038,0.07036,0.01752,5.60771,4.746,1.12016,0.000376024,0.000376024,0.000376024
8,31.7435,5.30029,1.43744,1.18945,0.15177,0.13591,0.06297,0.01782,5.36753,19.0985,1.15105,0.000427832,0.000427832,0.000427832
9,35.6313,5.30548,1.32794,1.15699,0.14611,0.09514,0.05072,0.0122,6.04307,12.5761,1.12139,0.000478442,0.000478442,0.000478442
10,39.5681,4.76723,1.20924,1.20675,0.26477,0.14511,0.10008,0.02679,5.24813,10.7051,1.11674,0.000527852,0.000527852,0.000527852
11,44.7589,4.55883,1.11456,1.20537,0.2086,0.10846,0.07089,0.01841,5.68436,7.53305,1.1545,0.000576064,0.000576064,0.000576064
12,48.4721,4.5623,1.09411,1.18779,0.23654,0.13468,0.08697,0.0228,5.37408,7.13084,1.15519,0.000623077,0.000623077,0.000623077
13,52.7899,4.57989,1.13224,1.21287,0.29356,0.09679,0.0738,0.02085,5.39655,1.80214,1.20046,0.000668891,0.000668891,0.000668891
14,56.6603,4.74851,1.18114,1.2026,0.24776,0.04448,0.0335,0.01001,5.92392,2.17144,1.46631,0.000713507,0.000713507,0.000713507
15,60.529,4.2309,1.05027,1.21731,0.20955,0.10351,0.07172,0.01934,5.60698,2.64568,1.15843,0.000756923,0.000756923,0.000756923
16,64.3049,4.51796,1.07773,1.18079,0.18422,0.08677,0.05912,0.01669,5.80003,2.01743,1.14528,0.000799141,0.000799141,0.000799141
