epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37456,2.47963,5.20995,0.83713,0.00059,0.00096,0.0003,0.00012,2.95374,5.22864,0.73586,0.1962,0.0002,0.0002
2,9.76102,2.77909,5.31893,0.84045,0.00118,0.00192,0.00059,0.00024,2.96074,5.19519,0.73838,0.1905,0.000499986,0.000499986
3,13.8202,2.61186,5.21075,0.81599,0.0421,0.05945,0.02035,0.00368,4.29308,inf,0.68509,0.1848,0.000799913,0.000799913
4,19.7907,3.61948,31.8406,0.73587,0.05165,0.06109,0.02279,0.00422,4.2455,inf,0.68622,0.1791,0.00109973,0.00109973
5,26.4358,3.62236,23.6698,0.81643,0.00076,0.00124,0.00038,9e-05,nan,nan,nan,0.173399,0.00139939,0.00139939
6,31.1394,3.93812,5.08125,0.93919,0,0,0,0,nan,nan,nan,0.167699,0.00169885,0.00169885
