epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,source_path
3,17.7794,4.34764,0.66604,0.62184,0,0,0,0,10.5199,6.06393e+08,3894.26,0.0846966,0.0016966,0.0016966,D:\OBM\CODES\AutoSEG\runs\detect\train129\results.csv
184,475.42,2.75222,1.64059,0.63531,0.50381,0.31755,0.3414,0.11126,2.6437,1.60957,0.62299,0.00393858,0.00393858,0.00393858,D:\OBM\CODES\AutoSEG\runs\detect\train13\results.csv
10,25.4306,13.1843,15.7515,3.39165,0,0,0,0,6.53495,35.6863,1.92496,0.000573482,0.000573482,0.000573482,D:\OBM\CODES\AutoSEG\runs\detect\train130\results.csv
100,213.806,4.45001,1.60384,1.78355,0.01264,0.02004,0.00646,0.00148,4.53336,2.06476,1.33848,5.495e-05,5.495e-05,5.495e-05,D:\OBM\CODES\AutoSEG\runs\detect\train131\results.csv
100,302.458,2.84998,0.87295,1.52726,0.31608,0.25976,0.22013,0.0602,3.21145,0.98359,1.43738,0.000100222,0.000100222,0.000100222,D:\OBM\CODES\AutoSEG\runs\detect\train132\results.csv
9,28.4749,4.38386,2.95352,2.36535,0,0,0,0,2.00695,8.21847,1.68437,0.000975285,0.000975285,0.000975285,D:\OBM\CODES\AutoSEG\runs\detect\train133\results.csv
8,16.7651,13.1266,5.27203,4.72532,0,0,0,0,10.8214,4.36305,3.64358,0.156297,0.00229691,0.00229691,D:\OBM\CODES\AutoSEG\runs\detect\train134\results.csv
18,211.139,4.62991,0.72024,0.87547,0,0,0,0,0,0,0,0.0521513,0.00515133,0.00515133,D:\OBM\CODES\AutoSEG\runs\detect\train135\results.csv
32,117.371,2.91059,0.70447,0.5589,0.37593,0.18396,0.16867,0.0492,2.86863,0.86085,0.54174,0.0019442,0.0019442,0.0019442,D:\OBM\CODES\AutoSEG\runs\detect\train136\results.csv
300,1675.07,4.68183,1.17326,1.12109,0.80252,0.60859,0.71351,0.39988,5.1105,1.28869,1.12251,5.13694e-06,5.13694e-06,5.13694e-06,D:\OBM\CODES\AutoSEG\runs\detect\train137\results.csv
604,3112.62,10.3344,1.28177,1.08576,0.48468,0.24108,0.28355,0.10597,10.2941,1.18751,1.05324,0.0004573,0.0004573,0.0004573,D:\OBM\CODES\AutoSEG\runs\detect\train138\results.csv
4,9.7299,4.95759,2.80699,1.89669,0,0,0,0,0.15789,1.3939,0.05672,0.179097,0.00109703,0.00109703,D:\OBM\CODES\AutoSEG\runs\detect\train139\results.csv
85,254.268,4.87142,1.98328,1.51655,0.39677,0.27869,0.27825,0.09288,4.97662,1.82542,1.44021,0.000712282,0.000712282,0.000712282,D:\OBM\CODES\AutoSEG\runs\detect\train14\results.csv
300,1268.13,10.5139,2.00453,1.57909,0.48836,0.22941,0.27123,0.10011,9.97021,1.91524,1.58182,0.000103,0.000103,0.000103,D:\OBM\CODES\AutoSEG\runs\detect\train140\results.csv
6,21.2027,1.05987,3.70102,0.24991,0,0,0,0,0.26929,6.37375,0.06401,0.000688345,0.000688345,0.000688345,D:\OBM\CODES\AutoSEG\runs\detect\train141\results.csv
600,3149.59,1.99903,0.27943,1.09337,0.83198,0.66982,0.76826,0.46708,2.44733,0.31672,1.07827,1.165e-05,1.165e-05,1.165e-05,D:\OBM\CODES\AutoSEG\runs\detect\train142\results.csv
1000,6046.11,5.49507,1.0829,1.6101,0.79059,0.57523,0.69266,0.41139,5.87189,1.11987,1.61497,0.0002018,0.0002018,0.0002018,D:\OBM\CODES\AutoSEG\runs\detect\train143\results.csv
1000,2417.39,2.93154,0.47831,1.16247,0.67062,0.4757,0.54979,0.26248,2.99034,0.4895,1.13655,2.198e-05,2.198e-05,2.198e-05,D:\OBM\CODES\AutoSEG\runs\detect\train144\results.csv
800,4236.02,4.86687,1.36421,1.65742,0.81518,0.64662,0.74405,0.44193,5.94911,1.61934,1.6513,0.00100003,0.00100003,0.00100003,D:\OBM\CODES\AutoSEG\runs\detect\train145\results.csv
204,702.218,2.47626,1.01459,1.09214,0.43539,0.18081,0.19587,0.06446,2.70864,1.10595,1.07084,0.00849514,0.00849514,0.00849514,D:\OBM\CODES\AutoSEG\runs\detect\train146\results.csv
986,2201.01,5.86119,1.21495,0.71058,0.40381,0.23929,0.23781,0.07103,6.04886,1.17092,0.64104,1.55451e-06,1.55451e-06,1.55451e-06,D:\OBM\CODES\AutoSEG\runs\detect\train147\results.csv
600,1482.48,1.36992,0.34518,0.80455,0.72718,0.47899,0.58136,0.30175,1.48019,0.36802,0.79341,5.825e-05,5.825e-05,5.825e-05,D:\OBM\CODES\AutoSEG\runs\detect\train148\results.csv
100,424.609,3.19705,0.79575,0.8295,0.50998,0.23284,0.27844,0.11218,3.61981,0.87267,0.77753,0.000100222,0.000100222,0.000100222,D:\OBM\CODES\AutoSEG\runs\detect\train149\results.csv
360,1667.29,4.70818,0.95702,0.54378,0.50583,0.22709,0.27746,0.10528,4.85399,0.89947,0.52441,0.000742879,0.000742879,0.000742879,D:\OBM\CODES\AutoSEG\runs\detect\train15\results.csv
100,328.726,2.81873,0.73225,0.56104,0.64285,0.43726,0.50288,0.23055,3.04474,0.74441,0.54224,1.02443e-05,1.02443e-05,1.02443e-05,D:\OBM\CODES\AutoSEG\runs\detect\train150\results.csv
593,1854.08,2.74508,1.56061,1.08174,0.6444,0.44316,0.52815,0.23352,4.0924,2.34561,1.09314,0.000100395,0.000100395,0.000100395,D:\OBM\CODES\AutoSEG\runs\detect\train151\results.csv
600,1417.67,4.50896,1.15734,0.91274,0.40066,0.23833,0.25677,0.09725,4.57719,1.16498,0.88742,0.0001165,0.0001165,0.0001165,D:\OBM\CODES\AutoSEG\runs\detect\train152\results.csv
1000,2090.09,5.11663,1.8079,1.3576,0.2286,0.17957,0.14044,0.03769,5.63946,1.93046,1.31451,5.00122e-05,5.00122e-05,5.00122e-05,D:\OBM\CODES\AutoSEG\runs\detect\train153\results.csv
993,5349.08,2.94262,0.36209,0.53846,0.7567,0.49931,0.60808,0.33221,2.9497,0.33804,0.52816,2.31549e-06,2.31549e-06,2.31549e-06,D:\OBM\CODES\AutoSEG\runs\detect\train154\results.csv
800,8049.66,1.5225,0.4496,0.60574,0.72729,0.51953,0.59957,0.27889,1.76501,0.49436,0.58567,1.00385e-05,1.00385e-05,1.00385e-05,D:\OBM\CODES\AutoSEG\runs\detect\train155\results.csv
