epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58593,15.6497,7.02323,3.76479,0.02059,0.02883,0.01095,0.00438,16.1857,6.6206,3.52698,0.0955,0.0005,0.0005
2,10.1611,15.3999,8.6586,3.43252,0.0002,0.00027,0.0001,1e-05,17.2107,3327.83,83.0086,0.0901,0.00109999,0.00109999
3,14.7786,15.5528,4.40155,3.03582,0,0,0,0,nan,nan,nan,0.0847,0.00169995,0.00169995
4,19.2526,14.0489,3.74784,2.93972,0,0,0,0,nan,nan,nan,0.0792999,0.00229986,0.00229986
5,23.8253,14.3619,3.51567,2.89804,0,0,0,0,nan,nan,nan,0.0738997,0.00289968,0.00289968
6,28.1549,13.5242,3.62391,2.76137,0,0,0,0,nan,nan,nan,0.0684994,0.0034994,0.0034994
7,32.6947,13.9382,3.53558,2.86729,0,0,0,0,nan,nan,nan,0.063099,0.00409899,0.00409899
8,37.058,13.461,3.34585,2.65846,0,0,0,0,nan,nan,nan,0.0576984,0.00469842,0.00469842
9,41.6331,12.5474,2.9034,2.71255,0,0,0,0,nan,nan,nan,0.0522977,0.00529768,0.00529768
10,46.0932,13.1299,2.9483,2.61457,0,0,0,0,nan,nan,nan,0.0468967,0.00589673,0.00589673
11,50.3592,12.5432,2.77482,2.65544,0,0,0,0,nan,nan,nan,0.0414956,0.00649555,0.00649555
12,54.7195,12.9534,2.96053,2.59544,0,0,0,0,nan,nan,nan,0.0360941,0.00709412,0.00709412
13,59.0374,11.9545,2.67432,2.59856,0,0,0,0,nan,nan,nan,0.0306924,0.00769241,0.00769241
14,63.447,12.3965,2.87751,2.62559,0,0,0,0,nan,nan,nan,0.0252904,0.0082904,0.0082904
15,67.6571,12.1291,2.84047,2.73268,0,0,0,0,nan,nan,nan,0.0198881,0.00888806,0.00888806
16,72.052,12.364,2.87705,2.6822,0,0,0,0,nan,nan,nan,0.0144854,0.00948537,0.00948537
17,76.3352,11.9861,3.16378,2.7396,0,0,0,0,nan,nan,nan,0.00998248,0.00998248,0.00998248
18,80.8396,13.2871,2.96497,2.58924,0.00127,0.00178,0.00064,0.00012,18.8793,inf,3.48498,0.00998023,0.00998023,0.00998023
19,85.1075,11.4302,2.73745,2.64807,0.0002,0.00027,0.0001,1e-05,18.9334,inf,2.91562,0.00997783,0.00997783,0.00997783
20,89.5653,11.4024,2.61269,2.53303,0.00022,0.00027,0.00011,2e-05,nan,nan,nan,0.0099753,0.0099753,0.0099753
21,93.9106,11.9162,2.74596,2.65857,0.00118,0.00165,0.0006,0.00011,21.3553,inf,3.40659,0.00997264,0.00997264,0.00997264
22,98.5076,12.771,2.94142,2.49449,0.11354,0.08718,0.0624,0.0176,15.6068,84.4409,2.70362,0.00996983,0.00996983,0.00996983
23,102.937,11.1843,2.75374,2.61979,0.14731,0.10338,0.08544,0.02515,14.7642,34.1658,2.57544,0.0099669,0.0099669,0.0099669
24,107.52,11.7932,2.80396,2.71134,0.02225,0.03116,0.01147,0.00439,18.6525,inf,2.95339,0.00996382,0.00996382,0.00996382
25,111.944,10.6378,2.53157,2.54008,0.04245,0.05945,0.02258,0.00745,16.2149,inf,2.74964,0.00996061,0.00996061,0.00996061
26,116.427,11.7025,2.77622,2.60933,0.11827,0.11958,0.06558,0.0177,14.65,37.7266,2.53976,0.00995727,0.00995727,0.00995727
27,120.852,11.9252,2.85145,2.57313,0.11992,0.09583,0.06168,0.01842,15.3721,53.4592,2.55843,0.00995379,0.00995379,0.00995379
28,125.277,11.0565,2.67143,2.54256,0.19595,0.148,0.10687,0.03149,14.5722,18.2973,2.56896,0.00995017,0.00995017,0.00995017
29,129.712,11.7523,3.99624,2.50747,0.13072,0.11532,0.07337,0.02102,15.5617,12.5228,2.60565,0.00994642,0.00994642,0.00994642
30,134.328,10.8762,2.5117,2.55538,0.11568,0.09747,0.06778,0.02172,15.0488,6.65238,2.51881,0.00994253,0.00994253,0.00994253
31,138.66,12.3256,2.87396,2.46649,0.13267,0.10805,0.07992,0.02331,15.2597,6.63007,2.5272,0.0099385,0.0099385,0.0099385
32,143.07,12.2097,2.68486,2.51344,0.31174,0.18369,0.17497,0.05063,14.1909,6.96785,2.48397,0.00993434,0.00993434,0.00993434
33,147.464,10.3848,2.69576,2.47121,0.30118,0.19687,0.17058,0.04934,14.1631,8.48107,2.48556,0.00993005,0.00993005,0.00993005
34,152.076,11.4481,2.71336,2.47116,0.28762,0.22748,0.18009,0.0525,12.8935,7.25802,2.42088,0.00992562,0.00992562,0.00992562
35,156.618,11.3733,2.58928,2.56104,0.29796,0.26689,0.2003,0.06188,12.9369,5.70762,2.46055,0.00992106,0.00992106,0.00992106
36,161.315,11.0707,2.52063,2.5502,0.40049,0.26139,0.25017,0.07208,12.5985,5.63667,2.42999,0.00991636,0.00991636,0.00991636
37,165.88,11.1221,2.5694,2.46305,0.40515,0.26249,0.25174,0.07473,12.7806,5.86815,2.43546,0.00991152,0.00991152,0.00991152
38,170.574,11.2923,2.48896,2.47917,0.37537,0.22817,0.21295,0.06411,13.0034,4.14437,2.47709,0.00990656,0.00990656,0.00990656
39,175.004,10.8776,2.29432,2.47584,0.4357,0.25714,0.2613,0.08155,12.3964,3.38353,2.44321,0.00990145,0.00990145,0.00990145
40,179.605,11.082,2.42676,2.41873,0.46041,0.2581,0.2686,0.08403,12.3469,3.03606,2.45132,0.00989622,0.00989622,0.00989622
41,184.223,10.1008,2.26466,2.44687,0.47824,0.26332,0.2756,0.08642,12.0258,3.06472,2.42577,0.00989085,0.00989085,0.00989085
42,188.868,11.0903,2.34356,2.47495,0.39179,0.23119,0.22158,0.0641,12.8854,3.35499,2.48187,0.00988534,0.00988534,0.00988534
43,193.166,11.2864,2.55688,2.45765,0.3486,0.22103,0.20091,0.05947,13.1943,3.27167,2.51033,0.0098797,0.0098797,0.0098797
44,197.665,10.5311,2.29685,2.45867,0.45398,0.26661,0.27606,0.094,12.0037,2.51496,2.4381,0.00987393,0.00987393,0.00987393
45,202.133,10.2985,2.34332,2.43588,0.50163,0.31205,0.32992,0.11574,11.4093,2.31035,2.38957,0.00986803,0.00986803,0.00986803
46,206.987,11.2389,2.39417,2.46415,0.50847,0.3184,0.33426,0.11248,11.5802,2.5357,2.39009,0.00986199,0.00986199,0.00986199
47,211.299,9.88974,2.35457,2.48602,0.45429,0.29105,0.2932,0.09234,12.0242,2.67265,2.41815,0.00985582,0.00985582,0.00985582
48,215.754,10.9976,2.36206,2.45695,0.44627,0.28116,0.28451,0.08977,12.0696,2.84809,2.42553,0.00984951,0.00984951,0.00984951
49,220.101,10.2626,2.35504,2.57274,0.46934,0.29146,0.30484,0.10124,11.8076,2.63538,2.41366,0.00984307,0.00984307,0.00984307
50,224.68,10.9179,2.46815,2.50963,0.49449,0.30203,0.3272,0.11414,11.5243,2.39548,2.38549,0.0098365,0.0098365,0.0098365
51,229.104,10.4457,2.36835,2.38299,0.50967,0.29887,0.32891,0.11959,11.0275,2.32806,2.35932,0.0098298,0.0098298,0.0098298
52,233.787,9.99294,2.23631,2.47474,0.48659,0.29846,0.32305,0.11045,11.4609,2.41409,2.37599,0.00982296,0.00982296,0.00982296
53,238.176,10.4517,2.41956,2.50093,0.45266,0.28693,0.30215,0.09951,11.8745,2.62421,2.40203,0.009816,0.009816,0.009816
54,242.833,11.0418,2.41229,2.51934,0.45299,0.27279,0.28942,0.10155,11.4539,2.96412,2.38277,0.0098089,0.0098089,0.0098089
55,247.332,10.4136,2.26187,2.53283,0.4404,0.27759,0.28296,0.09644,11.7058,2.71319,2.38969,0.00980167,0.00980167,0.00980167
56,251.938,10.5061,2.22884,2.48539,0.46043,0.30258,0.30833,0.10211,11.782,2.41609,2.37723,0.0097943,0.0097943,0.0097943
57,256.326,10.4407,2.14614,2.39816,0.50767,0.33635,0.35453,0.121,11.3206,2.33565,2.33948,0.00978681,0.00978681,0.00978681
58,261.007,10.4321,2.30111,2.38546,0.44782,0.2765,0.27963,0.08589,12.5006,2.74276,2.40473,0.00977919,0.00977919,0.00977919
59,265.316,10.2622,2.25099,2.48163,0.49105,0.30588,0.32136,0.09907,11.8837,2.6758,2.37287,0.00977143,0.00977143,0.00977143
60,269.659,10.6519,2.30763,2.47342,0.47284,0.3078,0.32206,0.11107,11.4025,2.3926,2.35796,0.00976354,0.00976354,0.00976354
61,273.998,11.0558,2.34784,2.37938,0.4842,0.30093,0.31729,0.10525,11.5133,2.29757,2.36662,0.00975553,0.00975553,0.00975553
62,278.451,10.6347,2.35667,2.39512,0.53837,0.32663,0.35916,0.12696,11.0044,2.27306,2.34623,0.00974738,0.00974738,0.00974738
63,282.95,10.9154,2.40876,2.62539,0.53628,0.32963,0.35747,0.12822,10.8875,2.31113,2.34256,0.0097391,0.0097391,0.0097391
64,287.612,10.8107,2.39303,2.46863,0.50741,0.32057,0.34503,0.11958,11.1413,2.32314,2.34042,0.0097307,0.0097307,0.0097307
65,291.97,10.2802,2.24394,2.49429,0.50388,0.30174,0.32886,0.11388,11.1613,2.3895,2.34469,0.00972216,0.00972216,0.00972216
66,296.579,10.611,2.33032,2.40394,0.49986,0.31411,0.33604,0.11475,11.1049,2.29071,2.33549,0.00971349,0.00971349,0.00971349
67,300.932,10.214,2.1212,2.39595,0.4907,0.3287,0.33614,0.10948,11.2317,2.31715,2.33025,0.0097047,0.0097047,0.0097047
68,305.515,10.6403,2.31127,2.39349,0.5066,0.33539,0.34373,0.11451,11.2753,2.45498,2.34914,0.00969578,0.00969578,0.00969578
69,309.812,10.6546,2.36785,2.45994,0.45928,0.28624,0.29948,0.09335,11.8119,2.6485,2.37731,0.00968672,0.00968672,0.00968672
70,314.477,10.3559,2.3151,2.45682,0.54437,0.29517,0.36216,0.12839,11.0649,2.70259,2.3421,0.00967754,0.00967754,0.00967754
71,318.973,10.1356,2.24859,2.43613,0.53609,0.3137,0.379,0.13316,11.0205,2.41953,2.33906,0.00966823,0.00966823,0.00966823
72,323.653,10.2714,2.23144,2.37932,0.51815,0.3208,0.37585,0.13935,10.4956,2.45885,2.31512,0.0096588,0.0096588,0.0096588
73,328.076,10.9101,2.26905,2.29538,0.50641,0.31607,0.36647,0.13356,10.87,2.49035,2.33174,0.00964923,0.00964923,0.00964923
74,332.669,10.4419,2.21119,2.36559,0.51395,0.30286,0.35409,0.12993,10.7062,2.59091,2.32819,0.00963954,0.00963954,0.00963954
75,337.014,9.54591,2.15754,2.41474,0.52751,0.31411,0.36556,0.13354,10.733,2.6461,2.33224,0.00962972,0.00962972,0.00962972
76,341.501,9.80029,2.18381,2.47106,0.48259,0.30725,0.3427,0.12037,10.9567,2.54604,2.33374,0.00961978,0.00961978,0.00961978
77,345.815,9.70525,2.21815,2.41438,0.48924,0.29997,0.33819,0.12191,10.9634,2.49541,2.34174,0.00960971,0.00960971,0.00960971
78,350.285,9.83706,2.13048,2.4626,0.48429,0.304,0.3359,0.12261,11.1062,2.3961,2.34762,0.00959951,0.00959951,0.00959951
79,354.623,10.366,2.37154,2.46449,0.49922,0.24607,0.28791,0.09679,12.0002,2.67834,2.37859,0.00958918,0.00958918,0.00958918
80,359.107,10.5322,2.26408,2.45239,0.08961,0.12548,0.08828,0.02353,16.3787,4.87069,2.56664,0.00957873,0.00957873,0.00957873
81,363.423,10.8216,2.32414,2.42,0.15465,0.19028,0.16046,0.04725,14.8256,5.06519,2.51192,0.00956816,0.00956816,0.00956816
82,368.063,10.8697,2.41138,2.4526,0.42056,0.24423,0.27206,0.09523,11.8613,4.03851,2.39278,0.00955746,0.00955746,0.00955746
83,372.294,10.198,2.07328,2.3413,0.41916,0.21966,0.24617,0.08053,12.0447,3.90505,2.39862,0.00954663,0.00954663,0.00954663
84,376.75,9.56294,2.06057,2.43981,0.5238,0.30835,0.35214,0.12487,11.2056,2.49191,2.35342,0.00953568,0.00953568,0.00953568
85,381.094,10.3653,2.21758,2.39223,0.53975,0.317,0.36539,0.1291,10.9254,2.3645,2.3272,0.00952461,0.00952461,0.00952461
86,385.66,10.5832,2.24194,2.41464,0.52178,0.32441,0.36692,0.13154,10.9567,2.25147,2.33271,0.00951341,0.00951341,0.00951341
87,390.069,9.61897,2.11208,2.40558,0.49743,0.30316,0.3348,0.11579,11.5403,2.27935,2.38652,0.00950209,0.00950209,0.00950209
