epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7702,2.19417,3.93937,1.22715,0.00076,0.00124,0.00038,0.00012,2.8473,3.61042,1.22458,0.0491,0.0001,0.0001
2,100.86,2.32439,3.68074,1.29412,0.00101,0.00165,0.00051,0.00017,2.80607,3.58347,1.21541,0.0477475,0.000247502,0.000247502
3,106.766,2.39826,3.78733,1.23147,0.0037,0.00604,0.00187,0.0007,2.71712,3.40935,1.19496,0.046392,0.000392008,0.000392008
4,152.724,2.09927,3.15407,1.26367,0.05647,0.09226,0.04321,0.01789,2.5768,2.62621,1.14449,0.0450335,0.000533517,0.000533517
5,159.707,2.5501,2.1788,1.23712,0.16757,0.23861,0.14715,0.05944,2.3526,1.7404,1.06437,0.043672,0.000672028,0.000672028
6,187.567,1.91682,1.38959,1.1469,0.48402,0.28748,0.29757,0.12401,2.12019,1.33177,0.9822,0.0423075,0.000807543,0.000807543
7,235.105,1.71436,1.2132,1.06765,0.54507,0.37603,0.38477,0.16646,2.00878,1.24886,0.9334,0.0409401,0.00094006,0.00094006
8,242.29,1.83733,1.07592,0.97915,0.53868,0.45854,0.44323,0.18843,1.93518,1.14804,0.90619,0.0395696,0.00106958,0.00106958
9,248.839,2.05883,1.20993,0.97607,0.53165,0.49918,0.47058,0.1994,1.88298,1.06057,0.89444,0.0381961,0.0011961,0.0011961
10,312.556,1.60826,0.98809,0.96679,0.56386,0.49368,0.48997,0.20809,1.86739,1.00808,0.88905,0.0368196,0.00131963,0.00131963
11,349.966,1.75676,0.99843,0.96496,0.56844,0.51771,0.51385,0.22568,1.8458,1.09067,0.88566,0.0354402,0.00144016,0.00144016
12,356.495,1.68757,1.12085,0.95567,0.59915,0.5126,0.52265,0.22605,1.9109,0.96023,0.88627,0.0340577,0.00155769,0.00155769
13,362.581,1.73643,1.06662,0.94605,0.60588,0.52924,0.54561,0.24177,1.84309,1.03983,0.88287,0.0326722,0.00167223,0.00167223
14,416.888,1.51818,0.88731,0.93807,0.60766,0.51499,0.53482,0.22862,1.85703,0.91255,0.88042,0.0312838,0.00178377,0.00178377
15,447.364,1.70333,0.92469,0.95295,0.61032,0.51634,0.54772,0.24449,1.77365,0.92756,0.8755,0.0298923,0.00189231,0.00189231
16,488.701,1.68119,0.92907,0.96161,0.63993,0.51798,0.5634,0.25184,1.78088,0.88661,0.878,0.0284979,0.00199785,0.00199785
17,550.539,1.47953,0.90195,0.97902,0.64367,0.52054,0.56315,0.25121,1.79021,0.88697,0.87877,0.0271004,0.0021004,0.0021004
18,556.311,2.03234,1.00619,0.93842,0.61881,0.48655,0.5244,0.21735,1.84812,0.89503,0.87872,0.0257,0.00219995,0.00219995
19,583.471,1.68467,0.9067,0.98149,0.63205,0.50467,0.54459,0.23161,1.95919,0.95602,0.88456,0.0242965,0.0022965,0.0022965
20,608.705,1.72,0.85534,0.9374,0.65982,0.50632,0.55527,0.23807,1.93688,0.88476,0.8838,0.0228901,0.00239006,0.00239006
21,614.523,1.66969,0.84784,0.96,0.59326,0.48017,0.50959,0.19556,1.92379,0.9312,0.88265,0.0214806,0.00248062,0.00248062
