epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45636,11.8961,7.0047,2.37937,0.41141,0.32867,0.31277,0.10497,11.8621,11.1735,1.95719,0.0982,0.0002,0.0002
2,13.1671,8.63916,4.20637,1.98959,0.44519,0.34308,0.34764,0.12258,10.8567,15.7422,1.9063,0.0955,0.000499998,0.000499998
3,18.7329,9.89589,3.86269,1.98967,0.38018,0.29517,0.26129,0.07875,11.4679,144.073,2.0081,0.0928,0.000799989,0.000799989
4,23.9446,8.5811,3.38614,1.97764,0.00676,0.00947,0.00348,0.00122,13.3892,204.912,2.14127,0.0901,0.00109997,0.00109997
5,29.1515,8.93792,3.28715,2.06225,0,0,0,0,18.3616,15722.4,3.26829,0.0873999,0.00139992,0.00139992
6,34.4006,8.96548,3.20109,1.99315,0.0001,0.00014,5e-05,1e-05,20.5812,32833.4,18.3649,0.0846999,0.00169985,0.00169985
7,40.0084,8.96247,3.39666,2.0261,0,0,0,0,21.8881,8.11425e+06,599.634,0.0819998,0.00199975,0.00199975
8,45.2362,8.50961,3.11284,1.94041,0,0,0,0,21.4113,6.08243e+06,1237.79,0.0792996,0.00229961,0.00229961
9,50.4566,9.61347,3.48621,1.98078,0,0,0,0,21.0841,1.44491e+08,3828.75,0.0765994,0.00259942,0.00259942
10,55.958,8.94989,3.27443,2.00642,0,0,0,0,20.5163,5.87465e+09,31604.6,0.0738992,0.00289919,0.00289919
11,61.4537,9.17658,3.16526,1.97759,0,0,0,0,21.7331,8.42009e+08,105994,0.0711989,0.00319889,0.00319889
12,66.7922,9.33036,3.41485,1.96729,0,0,0,0,22.3727,5.83918e+07,183612,0.0684985,0.00349853,0.00349853
13,72.1086,9.22865,3.15769,1.96205,0,0,0,0,21.7413,4.51234e+09,154632,0.0657981,0.0037981,0.0037981
14,77.3412,9.04593,3.2986,1.9498,0,0,0,0,11.3489,1.358e+11,230564,0.0630976,0.0040976,0.0040976
15,82.5508,8.50515,3.19929,2.01133,0,0,0,0,11.2729,1.05848e+10,80001.1,0.060397,0.00439701,0.00439701
16,87.9065,8.8254,3.1926,2.00072,0,0,0,0,10.0317,1.40458e+07,8820.49,0.0576963,0.00469633,0.00469633
17,93.078,8.76121,3.43616,2.04456,0,0,0,0,22.2152,4.88741e+07,24168.6,0.0549956,0.00499556,0.00499556
18,98.5202,8.76371,3.02636,1.92686,0,0,0,0,22.4611,4.1835e+07,8071.11,0.0522947,0.00529469,0.00529469
19,103.622,9.156,3.35562,1.99849,0,0,0,0,11.0514,2.38648e+09,2782.67,0.0495937,0.00559371,0.00559371
20,108.817,9.12397,3.16623,1.92956,0,0,0,0,10.9909,3.9239e+08,897.973,0.0468926,0.00589261,0.00589261
21,114.591,8.39261,3.06497,1.97778,0,0,0,0,11.0834,1.89335e+08,469.343,0.0441914,0.0061914,0.0061914
22,119.975,8.92931,3.052,1.98504,0,0,0,0,10.9736,3.85786e+07,61.4726,0.0414901,0.00649006,0.00649006
23,125.379,8.60434,2.91948,1.96669,0,0,0,0,11.3397,2.04302e+07,20.2372,0.0387886,0.00678859,0.00678859
24,130.713,8.84268,2.94036,1.95326,0,0,0,0,17.2745,3.70619e+06,62.4047,0.036087,0.00708698,0.00708698
25,135.696,9.10578,3.18628,1.958,0,0,0,0,21.021,93456.8,34.5516,0.0333852,0.00738522,0.00738522
26,141.157,8.43136,2.93542,1.95113,0.0001,0.00014,5e-05,3e-05,17.298,518.04,3.30902,0.0306833,0.00768332,0.00768332
27,146.192,8.81232,2.87578,1.90314,0.00196,0.00275,0.00098,0.0003,18.4875,2965.79,3.7409,0.0279813,0.00798125,0.00798125
28,151.578,9.14249,3.03389,1.89643,0.0699,0.09789,0.03855,0.01235,15.5747,135.027,2.56867,0.025279,0.00827903,0.00827903
29,156.68,8.93284,2.89445,1.90133,0.01549,0.02169,0.00791,0.00342,14.7844,149.753,2.48971,0.0225766,0.00857663,0.00857663
30,161.73,8.63964,2.78934,1.85951,0.04255,0.05958,0.02483,0.00676,17.2651,25.5555,2.81834,0.0198741,0.00887406,0.00887406
31,166.757,8.76795,2.86085,1.84953,0.02627,0.03679,0.01683,0.00455,18.4964,80.2127,3.18832,0.0171713,0.0091713,0.0091713
32,171.707,8.07714,2.77007,1.95426,0.07533,0.007,0.0413,0.0104,18.802,83.7102,3.94021,0.0144684,0.00946836,0.00946836
33,176.643,7.84625,2.66743,1.9379,0.14286,0.00027,0.07198,0.05051,18.6242,36.6724,4.51875,0.0117652,0.00976523,0.00976523
34,181.978,8.50243,2.81058,1.86194,0,0,0,0,20.0068,248.562,10.6186,0.00996227,0.00996227,0.00996227
35,187.113,9.55523,3.01604,1.89342,0,0,0,0,19.6561,3395.67,15.3153,0.00995995,0.00995995,0.00995995
36,192.175,8.33402,3.0541,1.91036,0,0,0,0,20.2822,12288.9,14.4955,0.00995756,0.00995756,0.00995756
37,197.676,8.79896,2.86685,1.92315,0,0,0,0,21.3952,1918.89,12.7436,0.00995511,0.00995511,0.00995511
38,202.887,8.43289,2.89438,1.9983,0.07449,0.02169,0.04295,0.01429,15.1134,528.729,3.40456,0.00995258,0.00995258,0.00995258
39,207.977,8.51415,2.78343,1.87996,0.06471,0.08704,0.0361,0.01061,12.8445,76.2636,2.12485,0.00994999,0.00994999,0.00994999
40,213.15,8.15996,2.69742,1.88655,0.01775,0.02485,0.01044,0.00236,11.8478,282.16,1.95691,0.00994733,0.00994733,0.00994733
41,218.253,7.87352,2.7311,1.91524,0.01118,0.01565,0.00578,0.00136,11.0548,198.394,1.89771,0.0099446,0.0099446,0.0099446
42,223.279,8.64141,2.93724,1.93233,0.11108,0.15555,0.06437,0.02306,10.6696,27.6171,1.89912,0.0099418,0.0099418,0.0099418
43,228.163,8.74387,2.83551,1.87264,0.19762,0.23943,0.12009,0.0445,10.5588,15.483,1.91465,0.00993893,0.00993893,0.00993893
