epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12783,4.56009,2.22452,0.73824,0.26875,0.17381,0.13845,0.0359,5.77402,7.08867,0.61818,0.0492,0.0002,0.0002
2,7.1472,4.72939,1.83813,0.6477,0.02471,0.04036,0.01312,0.00309,5.58063,13.7744,0.61472,0.0479995,0.000499505,0.000499505
3,9.87805,4.53085,1.30447,0.63207,0.09964,0.15486,0.05666,0.01558,5.78651,23.7344,0.65131,0.0467984,0.000798416,0.000798416
