epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85145,2.32653,5.98108,0.58935,0,0,0,0,0.25947,8.1826,0.06242,0.0001,0.0001,0.0001
2,8.47502,1.84657,5.58924,0.52458,0,0,0,0,0.26073,8.06988,0.06272,0.000219267,0.000219267,0.000219267
3,11.8738,2.06232,4.89974,0.5475,0,0,0,0,0.26148,7.92031,0.06287,0.000337736,0.000337736,0.000337736
4,15.034,2.01681,4.73049,0.50223,0,0,0,0,0.25213,7.66849,0.06059,0.000455405,0.000455405,0.000455405
5,18.1344,4.19131,4.32417,1.07297,0,0,0,0,0.25138,7.06822,0.06033,0.000572274,0.000572274,0.000572274
6,21.2027,1.05987,3.70102,0.24991,0,0,0,0,0.26929,6.37375,0.06401,0.000688345,0.000688345,0.000688345
