epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.22318,6.44957,3.61089,1.17544,0.02944,0.0475,0.01796,0.00623,6.83032,2.84126,1.03379,4e-05,4e-05,4e-05
2,8.42832,5.96681,2.15959,1.05169,0.21881,0.08896,0.07669,0.01988,6.86592,1.7568,0.85111,9.985e-05,9.985e-05,9.985e-05
3,12.871,6.14451,1.43862,0.97262,0.1779,0.11216,0.08227,0.02363,6.89745,2.6775,0.84166,0.00015952,0.00015952,0.00015952
4,17.0476,5.60161,1.3481,0.92825,0.27827,0.12548,0.10531,0.03078,6.6409,1.69073,0.83895,0.00021901,0.00021901,0.00021901
5,21.4434,6.03572,1.34977,0.88808,0.29257,0.12397,0.10383,0.0292,6.53115,3.29509,0.83955,0.00027832,0.00027832,0.00027832
