epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.30602,2.88854,3.87572,1.24761,0.00218,0.00357,0.0011,0.00048,3.03092,3.74587,1.14596,0.19025,0.00025,0.00025
2,11.9313,2.87727,3.63018,1.1955,0.04908,0.08018,0.02968,0.01044,2.91639,2.7887,1.08599,0.178549,0.000549093,0.000549093
3,17.9338,2.69536,2.08697,1.09358,0.37014,0.21403,0.19102,0.06036,2.75853,1.51568,0.94083,0.166847,0.000847195,0.000847195
