epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.60805,5.64645,3.79741,0.76896,0.00126,0.00206,0.00063,0.00027,6.21572,3.56289,0.72663,0.0492,0.0002,0.0002
2,8.41025,5.55402,3.39829,0.7647,0.0658,0.1075,0.04637,0.01653,5.97239,2.52668,0.67992,0.0479955,0.0004955,0.0004955
3,12.2958,5.30769,2.08351,0.70401,0.31019,0.19728,0.17451,0.05783,5.82963,2.24586,0.62225,0.0467856,0.0007856,0.0007856
4,15.9694,5.02236,1.53411,0.66499,0.37602,0.22776,0.20279,0.0653,6.12958,1.51346,0.60724,0.0455703,0.0010703,0.0010703
5,19.7884,5.10825,1.26347,0.63239,0.27931,0.23105,0.16748,0.05116,6.49761,1.5791,0.60742,0.0443496,0.0013496,0.0013496
6,23.0491,4.90835,1.12457,0.62649,0.28934,0.24931,0.17988,0.05551,6.31329,2.01963,0.60273,0.0431235,0.0016235,0.0016235
7,26.6929,5.03993,1.09617,0.61672,0.32804,0.26318,0.20737,0.0636,6.2606,2.07994,0.6002,0.041892,0.001892,0.001892
8,30.1981,5.05972,1.10951,0.61836,0.41141,0.28515,0.26107,0.08861,5.74798,1.78555,0.59037,0.0406551,0.0021551,0.0021551
9,33.875,4.79639,0.99175,0.6143,0.41367,0.30313,0.27737,0.08679,5.54617,1.58568,0.58148,0.0394128,0.0024128,0.0024128
10,37.3728,4.72708,0.9786,0.60435,0.45201,0.30643,0.28809,0.09979,5.49876,1.52856,0.58374,0.0381651,0.0026651,0.0026651
11,40.9882,4.81655,0.97008,0.60598,0.46066,0.34445,0.32892,0.11274,5.21689,1.59647,0.57409,0.036912,0.002912,0.002912
12,44.7513,4.68287,0.95221,0.61908,0.45325,0.30176,0.28821,0.09749,5.58505,1.52074,0.58413,0.0356535,0.0031535,0.0031535
13,48.1776,4.67383,0.95018,0.60178,0.47733,0.3553,0.34449,0.12235,5.05078,1.53693,0.56812,0.0343896,0.0033896,0.0033896
14,51.8942,4.58212,0.92426,0.59364,0.43855,0.29874,0.28685,0.09352,5.74073,1.73985,0.58528,0.0331203,0.0036203,0.0036203
15,55.2114,4.70333,0.90429,0.60296,0.47642,0.34554,0.34231,0.1207,5.28741,1.59972,0.57455,0.0318456,0.0038456,0.0038456
16,58.6248,4.57926,0.93187,0.5953,0.51964,0.32825,0.34389,0.11747,5.28148,1.26089,0.57546,0.0305655,0.0040655,0.0040655
17,62.1408,4.58485,0.9247,0.59992,0.47752,0.31672,0.32021,0.10528,5.43082,1.5214,0.57541,0.02928,0.00428,0.00428
