epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.90137,6.29519,1.81802,0.88156,0.08839,0.11642,0.05009,0.0196,5.98401,2.00109,0.76405,0.19025,0.00025,0.00025
2,8.64885,5.65383,1.57286,0.7552,0.22272,0.15967,0.10366,0.0258,7.32003,4.42074,0.70117,0.178549,0.000549175,0.000549175
3,12.7956,5.1839,0.79968,0.65561,0.16375,0.23723,0.09913,0.03058,6.51285,inf,0.70073,0.166847,0.00084745,0.00084745
4,17.2052,4.71896,0.7088,0.6378,0.02034,0.03322,0.01106,0.00277,6.48522,inf,0.69646,0.155145,0.00114483,0.00114483
5,21.0912,4.83469,0.6977,0.63162,0.13428,0.19522,0.08348,0.02227,6.64485,2.92473,0.68203,0.143441,0.0014413,0.0014413
6,25.0198,4.70725,0.70361,0.63048,0,0,0,0,nan,nan,nan,0.131737,0.00173688,0.00173688
7,29.0972,4.65944,0.72033,0.63327,0.24009,0.19591,0.1484,0.04663,6.06229,7.48298,0.7163,0.120032,0.00203155,0.00203155
8,33.2686,4.57156,0.76007,0.61613,0.28828,0.26098,0.17063,0.05413,5.77493,6.66102,0.76048,0.108325,0.00232532,0.00232532
9,37.5322,4.36068,0.67838,0.61762,0.31836,0.36505,0.25058,0.08564,5.30998,17.9036,0.66908,0.0966182,0.0026182,0.0026182
10,41.6419,4.50467,0.65492,0.61746,0.34573,0.32221,0.24306,0.08383,5.435,10.6745,0.66925,0.0849102,0.00291017,0.00291017
11,45.4804,4.55112,0.65153,0.62112,0.20319,0.26689,0.13128,0.04686,5.42265,5.46832,0.63311,0.0732013,0.00320125,0.00320125
12,49.4442,4.94341,0.65374,0.62061,0.11567,0.18726,0.06982,0.02683,5.35379,6.62977,0.66887,0.0614914,0.00349143,0.00349143
13,53.2787,4.38163,0.61563,0.61732,0.19936,0.2916,0.13391,0.04558,5.68745,6.48383,0.67763,0.0497807,0.0037807,0.0037807
14,57.0205,4.28924,0.61969,0.63458,0.30864,0.30999,0.20624,0.06807,5.47749,4.08837,0.66621,0.0380691,0.00406908,0.00406908
15,60.7321,4.29228,0.5801,0.62104,0.23176,0.32468,0.15863,0.05946,5.11609,3.76647,0.62796,0.0263566,0.00435655,0.00435655
16,64.5529,4.67661,0.64169,0.61326,0.16571,0.26126,0.1141,0.04241,4.97886,3.42442,0.61316,0.0146431,0.00464312,0.00464312
17,68.3288,4.4429,0.61857,0.61038,0.11292,0.18355,0.09544,0.02824,5.52875,4.91775,0.64335,0.00488,0.00488,0.00488
